epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9175,1.05007,2.94458,1.32742,0.01063,0.88696,0.23551,0.13627,0.85,3.01445,1.238,0.00014,0.00014,0.00014
2,117.786,1.0535,2.20962,1.29395,0.24666,0.51304,0.27626,0.17086,0.96733,2.78039,1.26494,0.00029406,0.00029406,0.00029406
3,174.711,1.00671,1.88974,1.24083,0.16813,0.48508,0.26737,0.17409,1.02988,2.78055,1.31513,0.000441784,0.000441784,0.000441784
4,224.956,1.03892,1.85598,1.24632,0.33648,0.4,0.30064,0.1835,1.13451,2.78081,1.37208,0.000583172,0.000583172,0.000583172
5,277.989,1.02174,1.75698,1.23662,0.59411,0.05102,0.33525,0.20285,1.23612,2.62372,1.36769,0.000718224,0.000718224,0.000718224
6,331.788,1.03712,1.7245,1.24111,0.39182,0.28013,0.27146,0.15394,1.29554,2.43519,1.28339,0.00084694,0.00084694,0.00084694
7,396.884,1.08963,1.67564,1.27968,0.33857,0.3739,0.24365,0.11745,1.40079,2.42064,1.34767,0.00096932,0.00096932,0.00096932
8,460.767,1.05931,1.6298,1.25123,0.41621,0.48978,0.37833,0.21625,1.3105,2.16991,1.32376,0.00108536,0.00108536,0.00108536
9,515.053,1.10513,1.64983,1.24374,0.55519,0.28223,0.3693,0.23823,1.22444,2.52018,1.36403,0.00119507,0.00119507,0.00119507
10,565.45,1.05792,1.70447,1.2414,0.34251,0.16311,0.16735,0.07502,1.40398,2.95214,1.55099,0.00129844,0.00129844,0.00129844
11,618.153,1.10124,1.61137,1.26029,0.21545,0.24348,0.14376,0.06008,1.60601,3.17731,1.63122,0.00139548,0.00139548,0.00139548
12,669.696,1.04342,1.6097,1.2437,0.24905,0.24348,0.1227,0.06289,1.42804,3.50371,1.6735,0.00148618,0.00148618,0.00148618
13,720.603,1.09727,1.6177,1.24067,0.54136,0.34783,0.38499,0.26624,1.18208,2.27649,1.3396,0.0015248,0.0015248,0.0015248
