epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.488,1.26966,2.57763,1.43722,0.01213,0.875,0.29954,0.20118,0.99154,2.7501,1.27631,0.0003,0.0003,0.0003
2,287.067,1.29183,1.99273,1.38007,0.55328,0.16827,0.23748,0.1453,1.17013,2.75063,1.37095,0.000613862,0.000613862,0.000613862
3,420.258,1.30885,1.88305,1.3787,0.74191,0.23558,0.29561,0.16803,1.33224,2.50517,1.50968,0.000921388,0.000921388,0.000921388
4,553.014,1.32665,1.83023,1.38733,0.37134,0.46635,0.35987,0.22823,1.30557,2.12572,1.37165,0.00122258,0.00122258,0.00122258
5,686.402,1.3118,1.74918,1.34883,0.36272,0.42308,0.31396,0.19316,1.40387,2.16401,1.43431,0.00151743,0.00151743,0.00151743
6,820.8,1.27087,1.70895,1.32769,0.51139,0.50481,0.4211,0.27816,1.33814,1.99824,1.35291,0.00180595,0.00180595,0.00180595
7,958.772,1.3498,1.73622,1.36177,0.36255,0.50861,0.33589,0.18921,1.40681,2.21036,1.43649,0.0018812,0.0018812,0.0018812
8,1090.84,1.30592,1.66135,1.36768,0.20304,0.37019,0.21942,0.09562,1.56433,3.46989,1.58921,0.0018614,0.0018614,0.0018614
9,1222.51,1.27183,1.6031,1.31842,0.40092,0.5,0.35892,0.23445,1.22687,2.9969,1.34652,0.0018416,0.0018416,0.0018416
10,1355.36,1.27844,1.60842,1.35912,0.55774,0.45192,0.45064,0.26316,1.24132,1.97211,1.38663,0.0018218,0.0018218,0.0018218
11,1484,1.24681,1.58747,1.34192,0.54762,0.50962,0.47702,0.32835,1.17179,1.77627,1.31202,0.001802,0.001802,0.001802
12,1620.52,1.2505,1.5108,1.32773,0.57376,0.5,0.48513,0.31603,1.19224,1.73467,1.32576,0.0017822,0.0017822,0.0017822
13,1750.78,1.18356,1.52282,1.29907,0.65894,0.49231,0.54991,0.39654,1.06009,1.58393,1.22894,0.0017624,0.0017624,0.0017624
14,1888.13,1.21026,1.51015,1.31814,0.53353,0.52885,0.51986,0.35596,1.10259,1.61927,1.25687,0.0017426,0.0017426,0.0017426
15,2023.91,1.179,1.41846,1.29619,0.59132,0.50481,0.53796,0.361,1.15132,1.56445,1.24493,0.0017228,0.0017228,0.0017228
16,2155.1,1.13876,1.39668,1.24943,0.72332,0.54327,0.64079,0.48688,0.95763,1.31998,1.14419,0.001703,0.001703,0.001703
17,2329.64,1.26497,1.4347,1.31493,0.6079,0.52404,0.56188,0.4074,1.03042,1.47875,1.19282,0.0016832,0.0016832,0.0016832
18,2461.17,1.17145,1.41421,1.27156,0.67894,0.52885,0.5949,0.43751,1.01226,1.51138,1.18902,0.0016634,0.0016634,0.0016634
19,2596.2,1.22819,1.4699,1.31,0.57262,0.50889,0.54074,0.4264,0.90771,1.5223,1.12895,0.0016436,0.0016436,0.0016436
20,2729.35,1.19598,1.34369,1.29237,0.75076,0.59615,0.66549,0.50137,0.91146,1.33543,1.14976,0.0016238,0.0016238,0.0016238
