epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.466,1.55659,2.22378,1.49367,0.61395,0.81448,0.7435,0.49598,1.21328,2.32567,1.33505,0.00044,0.00044,0.00044
2,386.814,1.17384,1.01458,1.21296,0.74266,0.75454,0.81073,0.54532,1.21582,1.00872,1.28092,0.00088218,0.00088218,0.00088218
3,581.426,1.1294,0.97491,1.18006,0.71377,0.77374,0.79574,0.53296,1.22466,1.0303,1.29409,0.00130614,0.00130614,0.00130614
4,775.282,1.10487,0.92242,1.16233,0.71181,0.7945,0.82048,0.56459,1.14935,0.96965,1.23087,0.00171189,0.00171189,0.00171189
5,968.701,1.07097,0.88692,1.13828,0.71755,0.7932,0.8116,0.54789,1.13692,0.93732,1.22844,0.0018416,0.0018416,0.0018416
6,1167.28,1.07652,0.88002,1.14795,0.73719,0.83627,0.85793,0.60101,1.05524,0.80796,1.17958,0.001802,0.001802,0.001802
7,1353,1.06573,0.86172,1.14498,0.75609,0.83316,0.86779,0.62543,1.00826,0.78445,1.15231,0.0017624,0.0017624,0.0017624
8,1534.14,1.03523,0.84585,1.13056,0.77497,0.83104,0.87279,0.62626,1.00401,0.75434,1.15798,0.0017228,0.0017228,0.0017228
9,1728.09,1.04263,0.83555,1.13337,0.75543,0.84235,0.86274,0.63241,0.98015,0.7854,1.1345,0.0016832,0.0016832,0.0016832
10,1925.05,1.03342,0.80583,1.12152,0.74286,0.8508,0.85205,0.58784,1.02515,0.81869,1.16398,0.0016436,0.0016436,0.0016436
11,2115.34,1.01033,0.80682,1.1146,0.77684,0.84925,0.88544,0.65211,0.96756,0.71858,1.12651,0.001604,0.001604,0.001604
12,2308.23,1.02405,0.81718,1.10316,0.75912,0.8316,0.87012,0.62036,1.0199,0.73928,1.1732,0.0015644,0.0015644,0.0015644
13,2495.28,1.01905,0.80151,1.12122,0.77624,0.82719,0.8807,0.64154,0.97778,0.82235,1.13969,0.0015248,0.0015248,0.0015248
14,2689.42,1.00704,0.79897,1.11999,0.79127,0.8469,0.89323,0.65934,0.97477,0.69686,1.12367,0.0014852,0.0014852,0.0014852
15,2885.03,1.03563,0.78803,1.13361,0.78783,0.85236,0.89091,0.64647,0.99558,0.71294,1.14276,0.0014456,0.0014456,0.0014456
16,3077.7,1.01962,0.77427,1.11771,0.75088,0.81552,0.85501,0.60301,1.04457,0.77775,1.18614,0.001406,0.001406,0.001406
17,3271.06,1.00168,0.78189,1.11308,0.75575,0.81086,0.85448,0.60288,1.04125,0.7638,1.18839,0.0013664,0.0013664,0.0013664
18,3458.64,0.99528,0.76671,1.11672,0.78887,0.85781,0.89644,0.66112,0.95524,0.68958,1.12411,0.0013268,0.0013268,0.0013268
19,3654.17,0.99164,0.76732,1.09704,0.80218,0.83014,0.89427,0.6701,0.94047,0.67088,1.10889,0.0012872,0.0012872,0.0012872
20,3847.34,1.00038,0.78055,1.11453,0.80192,0.84454,0.89936,0.67304,0.93337,0.66865,1.11189,0.0012476,0.0012476,0.0012476
21,4043.04,0.97222,0.73768,1.09574,0.80278,0.85549,0.90252,0.6834,0.92195,0.66921,1.09736,0.001208,0.001208,0.001208
22,4242.79,0.96303,0.74459,1.0912,0.80973,0.85885,0.90981,0.68425,0.92956,0.6648,1.10894,0.0011684,0.0011684,0.0011684
23,4437.98,0.98342,0.7676,1.09975,0.82049,0.85273,0.91342,0.69032,0.92564,0.68734,1.10285,0.0011288,0.0011288,0.0011288
24,4630.8,0.98138,0.72727,1.10021,0.80163,0.88289,0.915,0.69117,0.91251,0.63891,1.09481,0.0010892,0.0010892,0.0010892
25,4826.38,0.96045,0.72572,1.09122,0.80393,0.85963,0.9047,0.6837,0.91412,0.6334,1.10045,0.0010496,0.0010496,0.0010496
26,5022.85,0.95456,0.7153,1.08243,0.81552,0.8604,0.91087,0.69277,0.90387,0.61098,1.0909,0.00101,0.00101,0.00101
27,5219.87,0.95539,0.7188,1.08112,0.80795,0.87416,0.91531,0.69729,0.89156,0.61322,1.0885,0.0009704,0.0009704,0.0009704
28,5415.01,0.95068,0.70724,1.07813,0.83442,0.85859,0.92024,0.70101,0.89447,0.60054,1.09008,0.0009308,0.0009308,0.0009308
29,5610.74,0.94103,0.71253,1.07505,0.81973,0.88375,0.92463,0.70453,0.87965,0.60464,1.07797,0.0008912,0.0008912,0.0008912
30,5809.21,0.96171,0.71602,1.09082,0.80606,0.87678,0.91285,0.6889,0.91023,0.68843,1.09049,0.0008516,0.0008516,0.0008516
31,6007.59,0.94835,0.70689,1.08495,0.82721,0.87286,0.92414,0.70318,0.892,0.60755,1.0896,0.000812,0.000812,0.000812
32,6201.39,0.95538,0.70842,1.08142,0.83936,0.86456,0.92573,0.71045,0.87921,0.58088,1.07863,0.0007724,0.0007724,0.0007724
33,6398.99,0.94508,0.69413,1.07464,0.82503,0.8748,0.92275,0.70973,0.87939,0.58725,1.08093,0.0007328,0.0007328,0.0007328
34,6593.45,0.93762,0.69118,1.08943,0.84008,0.88051,0.93314,0.71696,0.88413,0.61358,1.08047,0.0006932,0.0006932,0.0006932
35,6793.62,0.93973,0.6834,1.09634,0.8489,0.87028,0.92928,0.71361,0.88234,0.58386,1.07927,0.0006536,0.0006536,0.0006536
36,6987.95,0.92541,0.66685,1.07886,0.82579,0.89284,0.93022,0.72068,0.8629,0.55917,1.07063,0.000614,0.000614,0.000614
37,7188.93,0.9313,0.66615,1.07144,0.85264,0.8809,0.93614,0.728,0.85693,0.55588,1.0669,0.0005744,0.0005744,0.0005744
38,7387.76,0.91763,0.66642,1.08052,0.85278,0.88817,0.93704,0.72837,0.85596,0.5485,1.06261,0.0005348,0.0005348,0.0005348
39,7590.5,0.92098,0.66652,1.06944,0.83357,0.87961,0.92871,0.7106,0.88159,0.58372,1.07868,0.0004952,0.0004952,0.0004952
40,7795.73,0.92925,0.65766,1.08175,0.84972,0.88757,0.93641,0.72317,0.86143,0.55077,1.07164,0.0004556,0.0004556,0.0004556
41,7999.57,0.91735,0.69949,1.09898,0.84356,0.86047,0.92464,0.68823,0.93239,0.58633,1.12025,0.000416,0.000416,0.000416
